disasterNumber,zip_counts,totalDamage,validRegistrations,totalInspected,approvedForFemaAssistance,disasterLength
4086,1216,705694823.98,259284,115987,61210,13 days
4087,258,36443863.61,12016,6158,2970,12 days
4089,42,1714071.51,587,225,105,5 days
4091,18,3946410.2199999997,1353,1104,731,9 days
4101,54,5858780.97,2973,2052,771,12 days
4116,939,140212612.86,94812,88369,62394,19 days
4117,197,39811671.15,15296,7866,3662,15 days
4122,17,3841766.88,366,340,292,25 days
4145,319,60301492.52,27672,22580,16543,19 days
4157,132,10763842.17,2543,774,381,0 days
4168,34,3024064.97,1018,104,594,37 days
4174,47,7255808.6,1345,668,340,0 days
4175,116,15217568.4,5104,2850,942,5 days
4176,269,21928091.81,19234,15426,7376,7 days
4177,109,35712831.0,14700,11372,7089,8 days
4193,38,11635121.3,7053,6189,4264,14 days
4195,321,111053074.87,127390,117046,73250,2 days
4217,103,4383308.69,2059,1687,1086,15 days
4222,549,24795971.56,10734,8380,4607,48 days
4223,1172,86912060.03,33177,26627,12941,49 days
4226,85,2129600.59,613,450,256,39 days
4227,12,1394032.04,312,235,148,13 days
4235,24,17257325.18,8656,7616,4863,2 days
4237,30,1499179.8499999999,1801,1735,326,21 days
4239,105,6719703.07,1740,1527,921,9 days
4240,52,175250814.07999998,3668,2706,1535,51 days
4241,543,83779238.98,100058,79951,28138,22 days
4245,436,21624380.65,8660,7595,3304,9 days
4248,72,7092525.1,1238,896,325,5 days
4250,391,21075444.05,4983,4064,2458,17 days
4254,101,2263760.38,606,466,217,27 days
4263,487,110300586.09,39277,32504,15949,31 days
4266,117,27759783.43,4251,3378,1860,22 days
4268,170,9961749.15,4347,3715,1402,20 days
4269,483,82376503.23,26256,19497,10616,13 days
4272,528,61189377.67,12969,10732,5696,33 days
4273,289,54366109.56,8635,6976,4949,7 days
4277,489,1089941083.43,150593,127860,82905,20 days
4280,307,11575523.21,5918,4185,1984,11 days
4283,320,32053421.38,41750,22773,6815,16 days
4284,126,7394011.11,20771,9689,2093,11 days
4285,790,84544206.2,80294,56802,28905,20 days
4286,431,43918239.12,46310,32206,11646,26 days
4290,80,2772243.84,1398,1187,661,3 days
4291,99,12075136.290000001,5499,4039,2261,8 days
4293,18,10672538.88,1372,638,442,11 days
4294,12,383570.22,2825,1416,321,0 days
4295,30,7332850.19,2193,1465,575,1 days
4297,52,3879361.87,3137,1758,591,1 days
4300,43,4205153.68,2907,1610,586,0 days
4317,376,23887899.94,4134,3244,1978,13 days
4318,180,5829279.41,2019,1625,913,23 days
4326,43,6340161.29,2644,2348,1579,5 days
4331,55,3338873.36,865,737,469,1 days
4332,1287,2181930157.7599998,886590,579000,372417,23 days
4335,44,58858949.42,15789,12538,8871,2 days
4336,82,10717070.629999999,5605,3185,1676,2 days
4337,2465,414597941.4,2623110,989894,774251,44 days
4338,131,9041936.56,43715,16105,9365,13 days
4339,1222,1564993328.5,1113759,750173,474019,59 days
4340,70,43939224.800000004,22687,17534,11674,6 days
4341,540,26589.920000000002,1281,33,3,30 days
4344,392,67197372.61,23571,5841,4404,23 days
4353,258,19228830.77,3667,1482,735,58 days
4357,2,20586604.669999998,7730,7556,6079,5 days
4362,52,892653.75,1485,630,264,1 days
4363,238,5475729.48,2785,2481,1165,18 days
4364,53,366114.79,1554,800,230,0 days
4365,52,2722436.0100000002,707,544,252,3 days
4366,41,91014379.82000001,2846,2175,1012,106 days
4377,93,32415606.700000003,11655,10576,5116,24 days
4382,86,34392138.6,4246,1739,500,58 days
4393,732,189255256.49,137041,96066,34655,22 days
4394,134,34716039.550000004,16083,12643,5170,30 days
4396,9,706960.28,783,721,395,1 days
4399,215,188604108.67,101232,65816,31339,12 days
4400,192,16293212.74,35674,19330,5077,14 days
4402,141,11053271.32,2995,2443,2039,28 days
4404,27,35273788.15,9299,8541,6941,2 days
4407,209,318593790.06,26861,13334,8027,17 days
4413,71,13294554.44,10384,8678,4355,0 days
4419,18,4069829.71,696,421,136,0 days
4420,331,34200067.269999996,6789,5214,3428,127 days
4421,145,27765520.52,2499,2026,1732,95 days
4429,48,2510809.26,996,779,309,182 days
4438,351,24813645.580000002,5229,3793,2202,33 days
4440,127,2351108.98,2013,1846,919,44 days
4441,138,15554706.88,1784,1355,925,24 days
4447,160,6781057.350000001,6523,3858,1646,2 days
